Date of Sale,Address,Location,Area,Total Area,Rooms,Plot,Closing Price
20 september 2017,Vävra 710,"Hålta,Kungälvskommun",100+100,200.0,5,4794,3650000
20 september 2017,Trätäljagatan 2,"Iskällan,Kungälvskommun",147+147,294.0,9,937,5875000
14 september 2017,Håkons gata 6,"Iskällan,Kungälvskommun",117,,4,960,4950000
10 september 2017,Torp 340,"Kareby,Kungälvskommun",127+100,227.0,6,21023,4325000
8 september 2017,Västra Åkerhögsvägen 17,"Kärna,Kungälvskommun",155+20,175.0,6,1824,4575000
7 september 2017,Rävo 170,"Hålta,Kungälvskommun",165+60,225.0,5,4627,7150000
7 september 2017,Törnrosgatan 5,"YtterbyTornhaga,Kungälvskommun",195,,6,1075,4555000
5 september 2017,Snäckliden 13,"Sundhammar,Kungälvskommun",48+33,81.0,4,1590,2800000
1 september 2017,Bergåsvägen 16e,"Kungälv-Ytterby,Kungälvskommun",100,,4,602,4820000
31 augusti 2017,Sjöhåla 170,"KÄRNA,Kungälvskommun",124+72,196.0,5,2035,3550000
30 augusti 2017,Duvesjön 308,"Romelanda,Kungälvskommun",121,,4,916,3295000
29 augusti 2017,Hermelingatan 11,"Olseröd,Kungälvskommun",126,,5,548,5300000
28 augusti 2017,Flädervägen 14,"Bohuslän,Kungälvskommun",105,,5,476,3450000
24 augusti 2017,Solberga 900,"Kode,Kungälvskommun",123,,4,1107,2500000
8 oktober 2016,Solvagnsgatan 28,"Ytterby-Stället,Kungälvskommun",164+12,176.0,6,441,4725000
7 oktober 2016,Kärrhed 240,"Kärna,Kungälvskommun",48,,2,2760,2100000
5 oktober 2016,Sköldgatan 5,"YtterbyStället,Kungälvskommun",137+8,145.0,5,437,4400000
30 september 2016,Signehög 210,"Kungälv-Romelanda,Kungälvskommun",142,,6,945,3100000
29 september 2016,Hallsbrovägen 3,"Kärna,Kungälvskommun",60,,2,1801,1150000
29 september 2016,Lökebergsvägen 41,"Lökeberg,Kungälvskommun",44+6,50.0,2,1511,2550000
29 september 2016,Domsvägen 3,"Ytterby,Kungälvskommun",157+99,256.0,6,921,4850000
25 september 2016,Plogvägen 180,"Kungälv,Kungälvskommun",106+5,111.0,,338,4300000
23 september 2016,Bärtas väg 13,"Ödsmålsmosse,Kungälvskommun",75,,3,1418,3250000
23 september 2016,Onyxvägen 19,"Kode,Kungälvskommun",155,,7,557,4750000
17 september 2016,Lingonvägen 38,"Centralt,Kungälvskommun",127,,5,428,4560000
14 september 2016,Djupuddsvägen 20,"Marstrand-Instön,Kungälvskommun",112,,3,1438,3500000
13 september 2016,Kastellegårdsgatan 47,"KUNGÄLV,Kungälvskommun",116+50,166.0,4,938,3425000
10 september 2016,Rosenstensvägen 41,"Kode,Kungälvskommun",135,,,193,2800000
9 september 2016,Annas väg 25,"Kovikshamn,Kungälvskommun",62+22,84.0,3,1026,2730000
2 september 2016,Knaverstad-Ryr 580,"Aröd,Kungälvskommun",158+4,162.0,6,1012,2840000
1 september 2016,Solrosvägen 12,"Kärna,Kungälvskommun",135+96,231.0,8,818,3325000
30 augusti 2016,Bergåsvägen 16 C-D,"Ytterby,Kungälvskommun",175.5,,6,600,4700000
28 augusti 2016,Åkerhög 310,"Vedhall-Åkerhög,Kungälvskommun",65,,3,1500,2050000
26 augusti 2016,Skårby Mosse 870,"Bohuslän,Kungälvskommun",147+50,197.0,5,3073,4000000
25 augusti 2016,Rörtången 126,"Rörtången,Kungälvskommun",170+20,190.0,5,1638,8700000
24 augusti 2016,Sjöhåla Strandväg 14,"Kovikshamn,Kungälvskommun",164,,4,1075,5700000
20 augusti 2016,Tegskiftegatan 20,"YTTERBY,Kungälvskommun",102+102,204.0,5,969,3550000
18 augusti 2016,Bärtas väg 23,"Ödsmålsmosse,Kungälvskommun",51+20,71.0,3,1380,3025000
15 augusti 2016,Långgatan 8,"Marstrandsön,Kungälvskommun",244+50,294.0,11,318,11250000
14 augusti 2016,Instölid 40,"Marstrand-Instön,Kungälvskommun",70,,4,1010,3500000
12 augusti 2016,Åsebyberg 847,"KODE,Kungälvskommun",120+15,135.0,4,1163,3300000
8 augusti 2016,Bremnäs 305,"LYCKE,Kungälvskommun",115,,4,1979,4000000
28 juli 2016,Tröskvägen 256,"Ullstorp,Kungälvskommun",149+9,158.0,6,440,5355000
27 juli 2016,Östra röd 248,"HARESTAD,Kungälvskommun",144,,,2006,4200000
25 juli 2016,Stenstavägen 21,"Tjuvkil,Kungälvskommun",140+58,198.0,6,1223,6000000
20 juli 2016,Rombacka 180,"Kareby,Kungälvskommun",53+7,60.0,2,2031,1075000
18 juli 2016,Vedbackavägen 4 A + B,"Rödbo,Kungälvskommun",254+42,296.0,7,1046,2900000
15 juli 2016,Lefstad 110,"Kärna,Kungälvskommun",182,,8,2630,2600000
15 juli 2016,Gunneröd 290,"Lycke,Kungälvskommun",132+39,171.0,4,2125,2300000
13 juli 2016,Duvesjön 228,"Duvesjön,Kungälvskommun",121+37,158.0,5,1150,3400000
11 juli 2016,Violgatan 7,"Ytterby,Kungälvskommun",139+36,175.0,7,588,4200000
10 juli 2016,Instölid 65,"Marstrand-Instön,Kungälvskommun",60,,4,1012,3320000
8 juli 2016,Rörtången 103,"Rörtången,Kungälvskommun",162+62,224.0,5,1015,7250000
6 juli 2016,Nereby 360,"Kärna-Harestad,Kungälvskommun",120+40,160.0,6,1149,3100000
6 juli 2016,Skår 260,"RomelandaSkår,Kungälvskommun",31,,2,785,250000
5 juli 2016,Mariebergsvägen 130,"ÖstraKungälv-Marieberg,Kungälvskommun",230+41,271.0,10,2100,5520000
5 juli 2016,Lerlycke 240,"Lerlycke-Kärna,Kungälvskommun",129+44,173.0,3,12665,4420000
4 juli 2016,Rörtången 295,"Kode,Kungälvskommun",90+15,105.0,4,1795,5275000
4 juli 2016,Dannemarksgatan 45,"Tega,Kungälvskommun",140,,5,1072,4850000
4 juli 2016,Krokens Väg 11,"Tjuvkil,Kungälvskommun",148,,6,1155,6000000
1 juli 2016,Briljantvägen 9,"KODE,Kungälvskommun",125,,5,350,3200000
28 juni 2016,Rörmossevägen 180,"Rörmossen,Kungälvskommun",110+135,245.0,6,1827,3725000
26 juni 2016,Hammar 565,"Skäggstorp,Kungälvskommun",160,,4,2210,3000000
22 juni 2016,Byvägen 33,"KodeÖdsmål,Kungälvskommun",58,,3,1871,2625000
20 april 2021,Gulskärsvägen 21,"Tjuvkil,Kungälvskommun",149+14,163.0,6,1512,7400000
20 april 2021,Mårdgatan 4,"Olseröd,Kungälvskommun",124+45,169.0,5,1122,7150000
19 april 2021,Lilla Fjellsholmen 22,"LillaFjellsholmen,Kungälvskommun",4,,,406,8900000
16 april 2021,Lindvägen 8,"Ytterby,Kungälvskommun",244+72,316.0,7,1330,7700000
16 april 2021,Stenåldersgatan 41,"Ytterby,Kungälvskommun",120,,5,404,5350000
16 april 2021,Harkvägen 335,"Ullstorp,Kungälvskommun",131,,4,,4610000
15 april 2021,Prästvägen 296,"Kareby,Kungälvskommun",187,,6,1434,8100000
15 april 2021,Duvesjön 228,"Diseröd,Kungälvskommun",121+37,158.0,5,1150,4925000
15 april 2021,Kuskalundsvägen 11,"Hålta,Kungälvskommun",110+49,159.0,3,1227,4025000
14 april 2021,Ulvesund 412,"Ulvesund,Kungälvskommun",106+9,115.0,4,806,4750000
13 april 2021,Mantalsgatan 15,"Tega,Kungälvskommun",110,,4,986,3725000
13 april 2021,Klintegatan 7,"Kungälv-Centrum,Kungälvskommun",143+112,255.0,5,798,7750000
12 april 2021,Duvesjön 205,"Diseröd,Kungälvskommun",126,,4,1062,4700000
8 april 2021,Nygatan 6,"Marstrand-Koön,Kungälvskommun",90,,4,376,7500000
8 april 2021,Prästvägen 170,"Kareby,Kungälvskommun",95+140,235.0,7,2868,3770000
4 april 2021,Hammarberg 825,"Kode,Kungälvskommun",65+74,139.0,5,3030,4350000
2 april 2021,Duvesjön 420,"Bohuslän,Kungälvskommun",127+10,137.0,5,834,5400000
1 april 2021,Rönnvägen 11,"Diseröd,Kungälvskommun",120+88,208.0,6,849,3465000
1 april 2021,Toreby mosse 570,"Ytterby,Kungälvskommun",110+80,190.0,8,1375,2980000
1 april 2021,Häljeröd 106,"Diseröd,Kungälvskommun",120+90,210.0,8,1734,3700000
26 mars 2021,Domsvägen 7B,"CentraltYtterby,Kungälvskommun",159+62,221.0,6,600,5500000
25 mars 2021,Grandalen 110,"Duvesjön,Kungälvskommun",65,,2,1121,2375000
25 mars 2021,Kroken 142,"Harestad,Kungälvskommun",,,2,1175,3900000
23 mars 2021,Ekvägen 2,"Ytterby,Kungälvskommun",177+60,237.0,7,769,7700000
22 mars 2021,Råckeröd 140,"Kärna,Kungälvskommun",66+20,86.0,3,2269,3800000
19 mars 2021,Nätstigen 7,"Centralt,Kungälvskommun",120,,4,299,3900000
18 mars 2021,Hallbjörtorp 492,"Kärna,Kungälvskommun",104+8,112.0,3,1499,3900000
18 mars 2021,Dösebacka 130,"Diseröd,Kungälvskommun",123+41,164.0,6,4859,5350000
17 mars 2021,Åsgatan 17A,"Centrum,Kungälvskommun",84+44,128.0,4,903,5620000
17 mars 2021,Tvetgatan 263,"Tveten,Kungälvskommun",100+50,150.0,6,138,3850000
16 mars 2021,Olserödsgatan 86,"Kungälv-Olseröd,Kungälvskommun",104,,5,288,4050000
16 mars 2021,Tjuvkil 450,"Tjuvkil,Kungälvskommun",237+118,355.0,8,1434,3120000
16 mars 2021,Rondan 19,"Rörtången/Ödsmålsmosse,Kungälvskommun",60+60,120.0,4,1927,4400000
16 mars 2021,Åsebyberg 960,"Kode,Kungälvskommun",157+16,173.0,5,1038,3850000
16 mars 2021,Ulvegärdegatan 15,"Ulvegärde,Kungälvskommun",140+96,236.0,7,1438,6100000
15 mars 2021,Solhultsgatan 27,"Komarken,Kungälvskommun",100,,4,560,3315000
12 mars 2021,Flateby 480,"Harestad,Kungälvskommun",59+16,75.0,3,1194,1600000
11 mars 2021,Björkebacka 114,"Kareby,Kungälvskommun",104,,5,996,5100000
10 mars 2021,Älvängen 130,"Harestad,Kungälvskommun",317+71,388.0,10,1180,5250000
3 mars 2021,Tegskiftegatan 46,"Ytterby,Kungälvskommun",184+54,238.0,8,865,6850000
2 mars 2021,Sjöhåla strandväg 12,"Kärna,Kungälvskommun",99,,4,1441,4350000
27 februari 2021,Skardet 120,"Kode,Kungälvskommun",141,,6,2086,5300000
27 februari 2021,Granliden 11,"Vedhall,Kungälvskommun",253+23.5,276.5,5,578,9200000
25 februari 2021,Önneröd 220,"Kärna,Kungälvskommun",112,,4,25370,3000000
24 februari 2021,Duvesjön 232,"Duvesjön,Kungälvskommun",122,,5,1076,4725000
22 februari 2021,Annas väg 4,"Kärna,Kungälvskommun",102+7,109.0,4,1158,3700000
18 februari 2021,Madängsgatan 13,"Centrum,Kungälvskommun",154+18,172.0,7,740,5750000
15 februari 2021,Bokvägen 12,"Fontin,Kungälvskommun",175+35,210.0,6,635,7400000
12 februari 2021,Tullaregatan 3,"Marstrandsön,Kungälvskommun",160,,5,333,15800000
11 februari 2021,Ulvegärdegatan 15B,"Ulvegärde,Kungälvskommun",80,,4,914,3700000
26 januari 2022,Häroldsgatan 5,"Centrum,Kungälvskommun",141,,7,799,5700000
25 januari 2022,Långåkersgatan 6,"Centralt,Kungälvskommun",140+36,176.0,5,733,7000000
24 januari 2022,Västerhöjdsvägen 111,"Kärna,Kungälvskommun",103,,5,423,2500000
22 januari 2022,Valtersäng 11,"Trankärr,Kungälvskommun",162,,4,808,6150000
21 januari 2022,Skvaltvägen 3,"Diseröd,Kungälvskommun",180+145,325.0,8,1352,5975000
19 januari 2022,Trätäljagatan 7,"Iskällan,Kungälvskommun",142+142,284.0,7,1037,7550000
18 januari 2022,Snäckvägen 16,"Rörtången/ödsmålsmosse,Kungälvskommun",62,,2,1801,3144000
18 januari 2022,Hemvägen 21,"Diseröd,Kungälvskommun",108+32,140.0,4,384,4050000
11 januari 2022,Ödsmål 540,"Rörtången,Kungälvskommun",65+31,96.0,4,916,3850000
8 januari 2022,Lagvägen 17,"Ytterby,Kungälvskommun",164,,5,597,5850000
7 januari 2022,Mariebergsliden 5,"Öster,Kungälvskommun",277+91,368.0,7,589,10000000
30 december 2021,Älvängen 180,"Harestad,Kungälvskommun",75+58,133.0,4,1631,4150000
22 december 2021,Mossvägen 24,"Hålta,Kungälvskommun",72,,3,1068,3500000
21 december 2021,Galeasgatan 6,"Komarken,Kungälvskommun",100,,3,296,4000000
14 december 2021,Stenåldersgatan 50,"Stället,Kungälvskommun",110,,5,221,4900000
9 december 2021,Munkegärdegatan  310,"Munkegärde,Kungälvskommun",146,,6,622,6110000
8 december 2021,Stora Ryr 310,"Tjuvkil/Lycke,Kungälvskommun",106+55,161.0,5,1239,3695000
7 december 2021,Mårdgatan 11,"Klöverbacken-Olseröd,Kungälvskommun",166+12,178.0,5,367,6310000
6 december 2021,Ulvebackegatan 3,"Ulvegärde,Kungälvskommun",129+44,173.0,4,927,4600000
3 december 2021,Plogvägen 187,"Ullstorp,Kungälvskommun",122+6,128.0,5,406,5600000
3 december 2021,Galärgatan 1,"Centraltvidälven,Kungälvskommun",104+4,108.0,4,762,3900000
1 december 2021,Korpedalsvägen 13,"Aröd/Timmervik,Kungälvskommun",47+40,87.0,2,1179,2850000
30 november 2021,Grindstolpen 21,"Ytterby,Kungälvskommun",76.1,,3,,3950000
29 november 2021,Hanekullen 200,"Kareby,Kungälvskommun",114,,4,1673,4200000
28 november 2021,Fontinvägen 13,"Bohuslän,Kungälvskommun",120+110,230.0,4,1167,6960500
26 november 2021,Kyrkeby 300,"Harestad,Kungälvskommun",114+117,231.0,6,1402,4170000
25 november 2021,Parkgatan 21,"Marstrand-Koön,Kungälvskommun",113+76,189.0,7,592,6100000
25 november 2021,Bäckgatan 38,"Centrum,Kungälvskommun",108+60,168.0,7,607,6670000
23 november 2021,Bärtas väg 7,"Kode,Kungälvskommun",53,,2,1792,2950000
18 november 2021,Lundby 380,"Kareby,Kungälvskommun",140,,,1818,5200000
17 november 2021,Nygatan 36,"Marstrand,Kungälvskommun",118+30,148.0,4,146,5900000
17 november 2021,Hammarberg 840,"Kode,Kungälvskommun",82+14,96.0,3,1893,3420000
16 november 2021,Duvesjön 360,"Duvesjön,Kungälvskommun",109.6,,4,968,4600000
15 november 2021,Vallgatan 3,"Kungälv-Centralt,Kungälvskommun",65+61,126.0,5,495,5800000
12 november 2021,Vallby 210,"Kode,Kungälvskommun",70,,3,1260,2550000
12 november 2021,Dotorp 470,"Kärna,Kungälvskommun",127,,4,18448,6495000
11 november 2021,Prästvägen,"Bohuslän,Kungälvskommun",,,4,24755,1725000
10 november 2021,Bremnäs 400,"Lycke,Kungälvskommun",130,,4,2562,5800000
10 november 2021,Hammarhöjden 680,"Kode,Kungälvskommun",100,,5,1059,3650000
5 november 2021,Stenhålt 124,"Romelanda,Kungälvskommun",163,,7,1668,5600000
4 november 2021,Veneröd 430,"Hålta,Kungälvskommun",92,,4,1376,3825000
4 november 2021,Poppelvägen 1,"Diseröd,Kungälvskommun",138,,5,788,4300000
3 november 2021,Hammarhöjden 695,"Kode,Kungälvskommun",92,,3,1053,3600000
3 november 2021,Grindklykan 7,"Grinden,Kungälvskommun",114+7,121.0,4,392,5095000
30 oktober 2021,Oxelvägen 24,"Diseröd,Kungälvskommun",139,,6,404,4000000
30 oktober 2021,Granliden 9,"Vedhall,Kungälvskommun",181+25,206.0,5,678,9550000
29 oktober 2021,Dalen 150,"Kärna,Kungälvskommun",154,,6,1052,5065000
28 oktober 2021,Östra gatan 43,"Bohuslän,Kungälvskommun",134+31,165.0,5,"1403,6",5600000
27 oktober 2021,Hamngatan 1,"Centraltvidälven,Kungälvskommun",136+83,219.0,6,617,6010000
26 oktober 2021,Kaprifolvägen 6,"Kärna,Kungälvskommun",128,,5,524,4800000
24 april 2022,Staby 375,"Kärna,Kungälvskommun",129,,6,1558,5400000
24 april 2022,Granvägen 7,"Ytterby,Kungälvskommun",100+54,154.0,4,623,5300000
22 april 2022,Årsnäs 460,"Kungälv-Årsnäs,Kungälvskommun",40,,3,2393,3600000
16 april 2022,Trankärr 223,"Trankärr,Kungälvskommun",6,,,958,5850000
14 april 2022,Marieberg 210,"Kungälv,Kungälvskommun",120+34,154.0,5,3245,3150000
14 april 2022,Dotorp 260,"Kungälv-Kärna,Kungälvskommun",162+9,171.0,6,2003,4775000
13 april 2022,Högalidsgatan 12,"Centraltvidälven,Kungälvskommun",139+72,211.0,7,816,6450000
13 april 2022,Kodevägen 15,"Kode,Kungälvskommun",147+123,270.0,6,1301,4525000
13 april 2022,Kungälvsvägen 27,"Grinden,Kungälvskommun",133,,6,243,4950000
13 april 2022,Onyxvägen 1,"Kode,Kungälvskommun",155,,7,818,4400000
4 april 2022,Kärnavägen 7,"Kärna,Kungälvskommun",97+133,230.0,7,786,3995000
3 april 2022,Åsebyberg 735,"Kode,Kungälvskommun",158+21,179.0,5,1362,6200000
30 mars 2022,Lagvägen 4,"Ytterby,Kungälvskommun",129+20,149.0,5,816,5630000
30 mars 2022,Marielundsvägen 12,"Koön,Kungälvskommun",74,,3,854,5400000
30 mars 2022,Gräsgången 5,"Kungälv,Kungälvskommun",121,,4,343,4600000
30 mars 2022,Åsebyberg 883,"Åsebyberg,Kungälvskommun",96,,4,,4630000
25 mars 2022,Åsebyberg 755,"Kode,Kungälvskommun",75+40,115.0,3,961,3900000
25 mars 2022,Västra Strandgatan 3,"Centraltvidälven,Kungälvskommun",111+61,172.0,5,650,6000000
17 mars 2022,Matskärsvägen 6,"Tjuvkil,Kungälvskommun",155+19,174.0,7,521,6300000
16 mars 2022,Prejelvägen 103,"Ullstorp,Kungälvskommun",106,,4,372,5380000
15 mars 2022,Vävra 425,"Tjuvkil/Lycke,Kungälvskommun",165+50,215.0,,1193,7650000
15 mars 2022,Briljantvägen 30,"Kode,Kungälvskommun",143,,5,520,5400000
15 mars 2022,Hallsbergsvägen 12,"Kode,Kungälvskommun",150+15,165.0,6,1639,5800000
11 mars 2022,Rönnvägen 22,"Romelanda,Kungälvskommun",108+70,178.0,6,823,5000000
10 mars 2022,Galärgatan 8,"Centrum,Kungälvskommun",119+62,181.0,5,655,4700000
10 mars 2022,Bergkristallvägen 3,"Kode,Kungälvskommun",125+9,134.0,5,527,5460000
10 mars 2022,Storskiftegatan 17,"ÖvreTega,Kungälvskommun",111,,4,165,4600000
9 mars 2022,Dammen 135,"Kode,Kungälvskommun",90+20,110.0,4,4698,3200000
9 mars 2022,Rondan 19,"Ödsmålsmosse,Kungälvskommun",60+60,120.0,4,1927,5400000
9 mars 2022,Tvetgatan 289,"Bohuslän,Kungälvskommun",130+9,139.0,5,127,4440000
7 mars 2022,Marias väg 35,"Aröd,Kungälvskommun",70,,3,1225,3450000
6 mars 2022,Thorilds gränd 12,"Centralt,Kungälvskommun",83,,6,470,8000000
4 mars 2022,Västra gatan 31,"GamlaStaden,Kungälvskommun",262,,9,636,8800000
3 mars 2022,Östergårdsgatan 20,"Ytterby,Kungälvskommun",133+65,198.0,6,1154,5720000
3 mars 2022,Glose 660,"Kärna,Kungälvskommun",60,,3,1703,3330000
3 mars 2022,Ivar Claessons gata 10,"Kungälv-Centralt,Kungälvskommun",105+53,158.0,5,967,5300000
24 februari 2022,Häljeröd 170,"Romelanda,Kungälvskommun",102+48,150.0,4,13432,5750000
21 februari 2022,Hallsbergsvägen 7,"Kode,Kungälvskommun",172+85,257.0,7,3363,5450000
19 februari 2022,Grandalen 200,"Romelanda,Kungälvskommun",115+21,136.0,4,1937,4290000
18 februari 2022,Fontinvägen 23,"Centralt,Kungälvskommun",168+75,243.0,6,1402,5900000
17 februari 2022,Lefstadvägen 35,"Kärna,Kungälvskommun",127+61,188.0,5,1255,5700000
16 februari 2022,Munkegärdegatan 321A,"Munkegärde,Kungälvskommun",99,,,357,4905000
14 februari 2022,Åkerhög 394,"Vedhall,Kungälvskommun",148,,4,1262,7250000
12 februari 2022,Åsebyberg 868,"Bohuslän,Kungälvskommun",154,,7,4234,6400000
9 februari 2022,Signehög 360,"Bohuslän,Kungälvskommun",78+68,146.0,4,2771,3825000
8 februari 2022,Hammarberg 895,"Kode,Kungälvskommun",67,,,1997,3360000
3 februari 2022,Sundhammarsvägen 480,"Kovikshamn/Sundhammar,Kungälvskommun",167+13,180.0,5,2290,6475000
28 januari 2022,Gamla Kungälvsvägen 9,"Ytterby,Kungälvskommun",65+88,153.0,4,1000,5555000
28 januari 2022,Murhammarvägen 17,"Kareby,Kungälvskommun",168,,6,2496,7300000
27 januari 2022,Mjölnarvägen 3,"Diseröd,Kungälvskommun",137,,5,534,4500000
8 juni 2021,Flateby 360,"Kungälv-Harestad,Kungälvskommun",125+95,220.0,7,1726,3100000
7 juni 2021,Västra Röd 350,"Harestad,Kungälvskommun",83,,3,1637,3550000
4 juni 2021,Lievägen 237,"Ullstorp,Kungälvskommun",140+19,159.0,5,507,6200000
4 juni 2021,Häradsvägen 20,"Ytterby,Kungälvskommun",130,,5,342,4850000
3 juni 2021,Enekullsvägen 54B,"Ytterby,Kungälvskommun",176,,6,930,5600000
3 juni 2021,Truskärsvägen 16,"Tjuvkil,Kungälvskommun",165,,6,1143,7400000
3 juni 2021,Signehög 332,"Romelanda,Kungälvskommun",126,,6,1459,4500000
3 juni 2021,Skårby station 550,"Kungälv-Kareby,Kungälvskommun",96+90,186.0,6,1087,3450000
2 juni 2021,Kvarnvägen 28,"Ingetorp,Kungälvskommun",140,,3,1272,5400000
2 juni 2021,Livelycke 140,"Kungälv,Kungälvskommun",109,,5,2888,4000000
2 juni 2021,Skårshöjd 8,"Kärna,Kungälvskommun",140+40,180.0,5,921,4425000
2 juni 2021,Ametistvägen 5,"Kode,Kungälvskommun",98+95,193.0,5,780,4900000
2 juni 2021,Prejelvägen 139,"Ullstorp,Kungälvskommun",122,,5,604,5800000
28 maj 2021,Hermansby 190,"Kärna,Kungälvskommun",115,,6,2488,4850000
28 maj 2021,Signehög 150,"Romelanda,Kungälvskommun",130+130,260.0,6,2151,2200000
25 maj 2021,Marias väg 35,"Aröd,Kungälvskommun",45,,3,1225,1130000
25 maj 2021,Hamngatan 13,"Centraltvidälven,Kungälvskommun",64+60,124.0,4,645,4900000
25 maj 2021,Guddeby 274,"Ytterby,Kungälvskommun",159+55,214.0,7,1527,6500000
21 maj 2021,Skårby mosse 872,"Kareby,Kungälvskommun",160,,6,2663,7200000
21 maj 2021,Hermansby 224,"Kärna,Kungälvskommun",178,,6,1494,7200000
19 maj 2021,Parkgatan 18,"Marstrand-Koön,Kungälvskommun",160+30,190.0,6,562,9400000
19 maj 2021,Lyckevägen 5B,"Kärna,Kungälvskommun",95+61,156.0,3,673,4400000
19 maj 2021,Saltskärsvägen 10,"Kungälv-Lycke,Kungälvskommun",64,,3,3440,3125000
18 maj 2021,Stora Risby 480,"Hålta,Kungälvskommun",108+26,134.0,5,941,4950000
18 maj 2021,Harkvägen 323,"Kungälv-Ullstorp,Kungälvskommun",126,,4,,4705000
18 maj 2021,Grepvägen 385,"Ullstorp,Kungälvskommun",121+29,150.0,5,388,5640000
17 maj 2021,Fridhemsgatan 9,"Centralt,Kungälvskommun",137+90,227.0,6,850,6525000
17 maj 2021,Lökebergsvägen 43,"Lökeberg,Kungälvskommun",120+54,174.0,4,3364,4825000
16 maj 2021,Häljeröd 210,"Romelanda,Kungälvskommun",160+35,195.0,4,1690,3550000
14 maj 2021,Vegestorp 210,"Kareby,Kungälvskommun",98+98,196.0,5,1610,4125000
12 maj 2021,Olvonvägen 27,"Diseröd,Kungälvskommun",123+97,220.0,6,682,5150000
11 maj 2021,Storskiftegatan 55,"Ytterby,Kungälvskommun",131+46,177.0,5,835,6550000
11 maj 2021,Skårby station 540,"Kareby,Kungälvskommun",57,,,1090,1200000
11 maj 2021,Almvägen 21,"Diseröd,Kungälvskommun",158,,8,1130,5300000
10 maj 2021,Glose 630,"Kärna,Kungälvskommun",96+17,113.0,3,1187,4150000
10 maj 2021,Lerlycke 240,"Kärna,Kungälvskommun",135+44,179.0,3,9078,6000000
8 maj 2021,Bergkristallvägen 5,"Kode,Kungälvskommun",126+9,135.0,5,477,5000000
7 maj 2021,Veneröd 640,"Hålta,Kungälvskommun",70,,,4606,820000
